"A"	"B"	"C"
"1"	"A"	"A"	"A"
"2"	"A"	"A"	"A"
"3"	"B"	"B"	"A"
"4"	"A"	"A"	"B"
"5"	"B"	"A"	"B"
"6"	"B"	"A"	"B"
"7"	"B"	"B"	"A"
"8"	"B"	"B"	"B"
"9"	"B"	"A"	"B"
"10"	"B"	"A"	"A"
"11"	"A"	"A"	"A"
"12"	"A"	"A"	"A"
"13"	"A"	"A"	"A"
"14"	"A"	"A"	"A"
"15"	"A"	"A"	"B"
"16"	"A"	"A"	"A"
"17"	"A"	"A"	"B"
"18"	"A"	"A"	"B"
"19"	"B"	"A"	"A"
"20"	"B"	"A"	"B"
"21"	"B"	"B"	"B"
"22"	"A"	"B"	"B"
"23"	"B"	"B"	"A"
"24"	"B"	"B"	"B"
"25"	"B"	"B"	"B"
"26"	"B"	"A"	"A"
"27"	"A"	"A"	"A"
"28"	"B"	"A"	"B"
"29"	"A"	"B"	"A"
"30"	"B"	"B"	"A"
"31"	"B"	"B"	"B"
"32"	"B"	"B"	"B"
"33"	"A"	"A"	"B"
"34"	"B"	"A"	"A"
"35"	"B"	"B"	"A"
"36"	"A"	"A"	"A"
"37"	"B"	"A"	"B"
"38"	"B"	"B"	"B"
"39"	"B"	"B"	"A"
"40"	"A"	"B"	"A"
"41"	"B"	"B"	"B"
"42"	"A"	"A"	"B"
"43"	"B"	"B"	"A"
"44"	"A"	"B"	"B"
"45"	"A"	"B"	"B"
"46"	"B"	"A"	"B"
"47"	"B"	"A"	"A"
"48"	"A"	"B"	"B"
"49"	"B"	"B"	"A"
"50"	"B"	"A"	"A"
"51"	"B"	"A"	"A"
"52"	"B"	"A"	"B"
"53"	"B"	"A"	"A"
"54"	"B"	"A"	"A"
"55"	"A"	"A"	"A"
"56"	"B"	"A"	"A"
"57"	"A"	"A"	"B"
"58"	"B"	"A"	"B"
"59"	"A"	"A"	"B"
"60"	"A"	"A"	"B"
"61"	"B"	"B"	"A"
"62"	"A"	"B"	"A"
"63"	"B"	"B"	"A"
"64"	"B"	"A"	"A"
"65"	"B"	"A"	"B"
"66"	"A"	"B"	"B"
"67"	"A"	"A"	"B"
"68"	"A"	"A"	"B"
"69"	"B"	"B"	"A"
"70"	"B"	"B"	"A"
"71"	"A"	"A"	"A"
"72"	"B"	"A"	"B"
"73"	"A"	"A"	"A"
"74"	"A"	"A"	"A"
"75"	"A"	"B"	"A"
"76"	"B"	"B"	"B"
"77"	"A"	"A"	"A"
"78"	"A"	"A"	"A"
"79"	"B"	"B"	"A"
"80"	"B"	"B"	"B"
"81"	"B"	"B"	"A"
"82"	"B"	"B"	"B"
"83"	"B"	"A"	"A"
"84"	"B"	"A"	"B"
"85"	"A"	"B"	"B"
"86"	"B"	"B"	"B"
"87"	"B"	"A"	"B"
"88"	"B"	"A"	"A"
"89"	"B"	"A"	"B"
"90"	"A"	"A"	"B"
"91"	"A"	"A"	"A"
"92"	"B"	"A"	"A"
"93"	"B"	"A"	"A"
"94"	"A"	"B"	"A"
"95"	"A"	"B"	"A"
"96"	"B"	"A"	"B"
"97"	"B"	"B"	"A"
"98"	"B"	"B"	"A"
"99"	"A"	"A"	"B"
"100"	"A"	"B"	"B"
"101"	"B"	"B"	"A"
"102"	"A"	"A"	"B"
"103"	"A"	"B"	"A"
"104"	"A"	"A"	"B"
"105"	"B"	"B"	"A"
"106"	"A"	"B"	"A"
"107"	"A"	"A"	"A"
"108"	"A"	"B"	"B"
"109"	"A"	"B"	"A"
"110"	"A"	"B"	"B"
"111"	"B"	"A"	"B"
"112"	"B"	"B"	"A"
"113"	"B"	"A"	"A"
"114"	"A"	"A"	"A"
"115"	"B"	"B"	"A"
"116"	"A"	"B"	"B"
"117"	"B"	"B"	"A"
"118"	"A"	"B"	"B"
"119"	"B"	"B"	"B"
"120"	"A"	"A"	"A"
"121"	"A"	"B"	"B"
"122"	"A"	"A"	"B"
"123"	"A"	"B"	"A"
"124"	"A"	"B"	"A"
"125"	"A"	"A"	"B"
"126"	"A"	"B"	"A"
"127"	"B"	"A"	"A"
"128"	"B"	"A"	"A"
"129"	"B"	"A"	"A"
"130"	"A"	"A"	"B"
"131"	"A"	"B"	"B"
"132"	"A"	"B"	"B"
"133"	"B"	"B"	"A"
"134"	"A"	"A"	"B"
"135"	"A"	"A"	"A"
"136"	"A"	"B"	"B"
"137"	"A"	"B"	"B"
"138"	"B"	"A"	"B"
"139"	"B"	"A"	"B"
"140"	"B"	"B"	"A"
"141"	"A"	"B"	"B"
"142"	"B"	"A"	"B"
"143"	"A"	"B"	"B"
"144"	"A"	"B"	"B"
"145"	"A"	"B"	"B"
"146"	"A"	"A"	"B"
"147"	"B"	"A"	"B"
"148"	"B"	"A"	"B"
"149"	"B"	"A"	"B"
"150"	"A"	"A"	"B"
"151"	"B"	"A"	"A"
"152"	"A"	"B"	"A"
"153"	"B"	"A"	"B"
"154"	"B"	"A"	"A"
"155"	"A"	"B"	"A"
"156"	"B"	"B"	"A"
"157"	"B"	"B"	"A"
"158"	"A"	"B"	"B"
"159"	"A"	"A"	"B"
"160"	"B"	"A"	"A"
"161"	"A"	"B"	"A"
"162"	"A"	"B"	"A"
"163"	"B"	"B"	"A"
"164"	"A"	"A"	"B"
"165"	"B"	"A"	"A"
"166"	"A"	"A"	"A"
"167"	"A"	"B"	"B"
"168"	"A"	"B"	"B"
"169"	"B"	"B"	"B"
"170"	"B"	"B"	"B"
"171"	"B"	"A"	"A"
"172"	"A"	"B"	"A"
"173"	"A"	"B"	"B"
"174"	"A"	"B"	"B"
"175"	"A"	"A"	"A"
